1. 在命令行中，可以使用（）分隔多个命令，从左向右依次执行。
B. 错
正确答案: 对

44. ps命令不带选项，显示所有终端用户活动进程的状态。
A. 对
B. 错
正确答案: 错

45. shell中的局部变量又称标准变量。
A. 对
B. 错
正确答案: 错

46. 可以对一个命令分组进行输出重定向。
A. 对
B. 错
正确答案: 对

47. 用户执行内部命令时，将依次查找PATH变量所保存的目录。
A. 对
B. 错
正确答案: 错

48. 使用ln命令为文件filea创建链接文件，filea的i节点号不变，但文件的数据会被复制一次。
A. 对
B. 错
正确答案: 错

49. 命令ls | more，可以将当前目录中的文件分页显示出来。
A. 对
B. 错
正确答案: 对

50. echo命令的作用是将消息参数显示在用户的终端上。
A. 对
B. 错
正确答案: 对

51. |（管道）是将前一个命令的标准输出作为后一个命令的标准输入。
A. 对
B. 错
正确答案: 对

52. 使用mv命令将文件改名，文件的i节点号会随着文件名的改变而改变。
A. 对
B. 错
正确答案: 错

53. shell内部命令是shell本身的一部分，在shell内部识别执行；shell外部命令保存在磁盘上，执行时才载入内存。
A. 对
B. 错
正确答案: 对
答案解析：
