question,answer
"删除当前行应该使用哪个命令？ （）
A. del
B. dl
C. dd
D. dt",C
"撤消上一行操作应该使用哪个命令？ （）
A. a
B. i
C. o
D. u",D
"复制当前行使用哪个命令？ （）
A. cp
B. ps
C. p
D. yy",D
"粘贴应该使用哪个命令？ （）
A. cp
B. ps
C. p
D. yy",C
"使用哪个命令可以显示vi中的行号？ （）
A. :setnumber
B. :number
C. :shownumber
D. :show",A
"在查找替换命令中，使用哪个符号来分隔要查找和替换的关键字？ （）
A. \
B. /
C. |
D. ,",B
"保存并退出vi的命令是哪个？ （）
A. :q
B. :w
C. :wq
D. :q!",C
"C语言头文件一般以什么名称结尾？ （）
A. c
B. a
C. h
D. so",A
"C语言库文件一般以什么名称结尾？ （）
A. c
B. a
C. h
D. so",C
"gcc在编译时，使用哪个参数来设置输出的文件名？ （）
A. o
B. i
C. c
D. e",A
"man命令查找Linux系统命令的用法应该使用哪个子命令？ （）
A. 1
B. 2
C. 3
D. 4",A
"man命令查找C语言函数用法应该使用哪个子命令？ （）
A. 1
B. 2
C. 3
D. 4",C
"以下哪些操作系统属于类Unix操作系统？ （）
A. Linux
B. BSD
C. MacOS
D. Windows",ABC
"使用gcc经过预编译后的文件一般以什么名称结尾？ （）
A. a
B. i
C. o
D. u",B
"使用gcc编译后的目标文件一般以什么名称结尾？ （）
A. a
B. i
C. o
D. u",C
"进程在Linux中的表示是一个（）。
A. 代码块
B. 结构体
C. 程序体
D. 封装体",B
"进程通信的方式有（）。
A. 管道
B. 消息队列
C. 套接字
D. 共享存储",ABCD
"下列选项属于线程的特点的是（）。
A. 有唯一标识
B. 不同线程可执行相同进程
C. 共享进程内存
D. 处理器独立调用",ABCD
"下列是引入线程的原因有（）。
A. 进程操作耗时
B. 提高并发处理性能
C. 提高CPU利用率
D. 使任务保持独立性",ABC
"下面关于进程调度说法正确的是（）。
A. 是确保进程有效工作的内核子系统
B. 决定进程运行的时间
C. 多任务操作系统的基础
D. 决定哪一个进程投入运行",ABCD
"进程的状态包括（）。
A. 运行状态
B. 等待状态
C. 就绪状态
D. 暂停状态",ABC
"运行内核程序的运行模式被称作（）。
A. 调解模式
B. 用户模式
C. 系统模式
D. 调试模式",C
"进程的运行模式包含（）。
A. 调解模式
B. 用户模式
C. 系统模式
D. 调试模式",BC
"进程的控制块中包含（）。
A. 操作时间
B. 进程id
C. 父进程id
D. 所需资源",BCD
"Linux的调度策略有（）。
A. 优先级策略
B. 根据进程对IO和处理器的请求多少对进程进行分类
C. 随机性策略
D. 时间片策略",ABD
"存储管理方案有（）。
A. 分区存储管理
B. 页式存储管理
C. 段式存储管理
D. 段页式存储管理",ABCD
"在分区存储管理中，内存划分方式有（）。
A. 随机分区
B. 分段式分区
C. 固定分区
D. 动态分区",CD
"页式存储管理的特点有（）。
A. 内存利用率最低
B. 页的大小因系统而异
C. 可以非连续存放
D. 对逻辑上统一的一类信息不方便查找和共享",BCD
"虚拟存储技术是有机的将内存和外存结合起来，充当（）。
A. 内存
B. 外存
C. 虚拟内存
D. 主存",C
"虚拟存储技术最大的优势就是扩展了计算机系统可使用的内存空间。 （）
A. 对
B. 错",A
"虚拟存储中因为内存空间的扩展，所以将整个程序全放置到内存中，从而加快了运行速度。 （）
A. 对
B. 错",B
"Linux中实际使用的存储管理技术是（）。
A. 分区虚拟存储管理
B. 页式虚拟存储管理
C. 段式虚拟存储管理
D. 段页式虚拟存储管理",B
"Linux中用于释放内存页，从而增加空闲页的数量，是由（）程序实现的。
A. swaped
B. delete
C. kswaped
D. release",C
"交换分区中包含专用的文件系统。 （）
A. 对
B. 错",B
"在虚拟存储管理的实现过程中，因为外存也被看做虚拟内存的一部分，所以存放在外存中的程序也可以被执行。 （）
A. 对
B. 错",B
"下列选项中属于文件系统提供的功能有（）。
A. 定义文件类型
B. 定义文件结构
C. 定义存储方式
D. 提供文件处理办法",ABCD
"文件系统提供的文件保护有（）。
A. 用户保护
B. 位置保护
C. 操作权限保护
D. 信息保护",AC
"文件共享带来的好处有（）。
A. 增强对文件的保护
B. 节省时间
C. 提高存储空间使用率
D. 减少工作量",BCD
"Linux文件系统结构可以分为（）。
A. 文件目录
B. 对外接口
C. 文件管理软件
D. 文件数据和属性",BCD
"Linux文件系统的特点可以归纳为（）。
A. 文件数据是动态的
B. 文件可由创建者设定权限
C. 一切设备均为文件
D. 文件数据是静态的",ABC
"Linux虚拟文件系统支持的文件系统包括（）。
A. 通用文件系统
B. 物理文件文件系统
C. 网络文件系统
D. 特殊文件系统",BCD
"操作权限保护的内容包括（）。
A. 只读
B. 删除
C. 只写
D. 可执行",ACD
"下列选项中属于存放在文件系统的有（）。
A. 文件数据
B. 目录
C. 软连接
D. 保护信息",ABCD
"ext4文件系统的分配策略包括（）。
A. 多块分配
B. 延迟分配
C. 文件数据块与Inode处于同一块组
D. 同目录所有Inode处于同一块组",ABCD
"虚拟文件系统设置的对象包括（）。
A. 超级块对象
B. 索引节点对象
C. 文件对象
D. 目录项对象",ABCD
"设备管理的功能包括（）。
A. 确保计算机资源合理配置
B. 完成输入/输出操作
C. 提供统一操作方式操作接口
D. 实现计算机与用户的交互友好性",BC
"在Linux系统下，系统操作设备是通过（）来完成的。
A. 驱动
B. 软件
C. 硬件
D. 信号",A
"操作系统将设备分为（）这几类。
A. 块设备
B. 支持设备
C. 字符设备
D. 网络设备",ACD
"Linux中I/O的系统结构可以分为（）。
A. 虚拟文件系统
B. 驱动层
C. 虚拟层
D. 物理设备",ABD
"下列选项属于设备管理的相关技术的是（）。
A. 缓冲技术
B. 中断技术
C. 缓存技术
D. DMA技术",ABCD
"外围设备与内存之间的输入输出控制主要有（）这几种方式。
A. 间歇方式
B. 轮询方式
C. 中断方式
D. DMA方式",BCD
"设备分配的方法有（）。
A. 共享分配
B. 独享分配
C. 批次分配
D. 虚拟分配",ABD
"中断技术可以实现（）。
A. CPU与I/O设备并行工作
B. 硬件故障处理
C. 人机联系
D. 内存与设备直接通信",ABC
"系统资源使用情况包括（）。
A. 网卡使用率
B. 内存使用量
C. CPU使用率
D. 文件系统空间使用率",BCD
"常见的设备驱动方式有（）。
A. 共享方式
B. 缓存方式
C. 中断方式
D. DMA方式",CD
"操作系统接口可以分为（）几大类。
A. 命令接口
B. 程序接口
C. 物理接口
D. 图形界面接口",ABD
"下列关于操作系统接口说法错误的是（）。
A. 操作系统接口用于支持用户和操作系统之间进行交互。
B. 操作系统接口可以分为三大类。
C. 操作系统接口通常由“命令”和“系统调用”的形式表现出来。
D. 操作系统接口指的是用户与计算机之间的接口。",D
"下列属于shell版本的是（）。
A. bash
B. sh
C. dsh
D. csh",ABCD
"Linux默认的Shell版本是（）。
A. bash
B. sh
C. dsh
D. zsh",A
"下列关于Shell说法正确的是（）。
A. Shell是命令的语言编辑器
B. Shell是命令的语言解释器
C. Shell拥有内置的shell命令集
D. Shell会将有效的命令传达到内核驱动",BCD
"下列关于X11说法正确的是（）。
A. 利用网络架构进行图形界面的运行与绘制。
B. 是一种软件
C. 是一种操作系统
D. x11使用的网络架构中X-Client用于管理硬件。",AB
"下列关于X-Windows体系结构说法正确的是（）。
A. X-Server用于管理客户端硬件
B. X-Server接受鼠标键盘灯发送的信息
C. X-client为X-Server提供数据
D. X-Client是应用程序",ABCD
"X-Windows的组成部分包括（）。
A. 桌面
B. 窗口
C. 菜单
D. 按钮",ABCD
"Linux中的系统调用接口可以在（）情况下使用。
A. 开机后直接使用
B. 系统加载后使用
C. 编写程序时使用
D. 运行程序时使用",C
"下列关于系统调用接口说法错误的是（）。
A. 为开发人员提供开发环境
B. 单进程处理功能
C. 可以提升安全性
D. 是用户与操作系统间的接口",B
"vi 编辑器里面如何删除最后一行（）
A. 先输入G，再输入 d
B. 先输入G，再输入 dd
C. 先输入 A，再输入 dd
D. 先输入 A，再输入 d",B
"新建一个管理员用户 admin，需要使用的参数（）
A. useradd -u 0 -o admin
B. useradd -g -0 admin
C. useradd -p -d admin
D. useradd -e -f admin",A
"在Linux下查看文件有多种方法，若希望在查看文件内容过程中，可以按空格实现翻页，应使用（）命令
A. cat
B. more
C. less
D. head",BC
"有一台系统为 Linux 的计算机，在其当前目录下有一个名为 test 的文本文件，管理员小张要用 vi 编辑器打开该文档以查看其中的内容，应使用的命令是（）
A. opentest
B. vi read test
C. vi test
D. open vi",C
"Linux系统中建立一个新文件可以使用的命令为？（）
A. chmod
B. more
C. cp
D. touch",D
"Linux系统中建立一个新文件可以使用的命令为？（）
A. chmod
B. more
C. cp
D. touch",B
"在unix系统下执行chmod(“/usr/test/sample”,0753)之后该文件sample的访问权限为（）
A. 拥有者可读写执行，同组用户可写可执行，其他用户可读可执行
B. 拥有者可读写执行，同组用户可读写，其他用户可读可执行
C. 拥有者可读写执行，同组用户可读可执行，其他用户可写可执行
D. 拥有者可读写执行，同组用户可读可执行，其他用户可读写",C
"在unix系统下执行chmod(“/usr/test/sample”,0753)之后该文件sample的访问权限为（）
A. 拥有者可读写执行，同组用户可写可执行，其他用户可读可执行
B. 拥有者可读写执行，同组用户可读写，其他用户可读可执行
C. 拥有者可读写执行，同组用户可读可执行，其他用户可写可执行
D. 拥有者可读写执行，同组用户可读可执行，其他用户可读写",A
"内核不包括的子系统是（）
A. 进程管理系统
B. 内存管理系统
C. I/O管理系统
D. 硬件管理系统",D
"关闭linux系统（不重新启动）可使用命令（）
A. Ctrl+Alt+Del
B. halt
C. shutdown -r now
D. reboot",B
"在bash中，在一条命令后加入“1>&2”的意义是（）
A. 标准错误输出重定向到标准输入
B. 标准输入重定向到标准错误输出
C. 标准输出重定向到标准错误输出
D. 标准输出重定向到标准输入",C
"下列不属于linux内核锁的一项是（）
A. Semaphore
B. Spinlock
C. seqlock
D. Message",D
"当字符串用单引号（’’）括起来时，SHELL将（）。
A.解释引号内的特殊字符 
B.执行引号中的命令 
C.不解释引号内的特殊字符 
D.结束进程",C
"/etc/shadow文件中存放（）。
A.用户账号基本信息 
B.用户口令的加密信息 
C.用户组信息 
D.文件系统信息",B
"Linux系统中，用户文件描述符 0 表示（）。
A.标准输入设备文件描述符 
B.标准输出设备文件描述符 
C.管道文件描述符 
D.标准错误输出设备文件描述符",A
"为卸载一个软件包，应使用（）。
A.rpm -i 
B.rpm -e 
C.rpm -q 
D.rpm -V",B
"若当前目录为 /home,命令 ls –l 将显示 home 目录下的（）。
A.所有文件 
B.所有隐含文件 
C.所有非隐含文件 
D.文件的具体信息",D
"下面关于文件 “/etc/sysconfig/network-scripts/ifcfg-eth0” 的描述哪个是正确的?（）。
A.它是一个系统脚本文件 
B.它是可执行文件
C.它存放本机的名字 
D.它指定本机eth0的IP地址",D
"如何快速切换到用户John的主目录下？（）
A.cd @John 
B.cd #John 
C.cd &John 
D.cd ~John",D
"启动DNS服务的守护进程（）
A. httpd start 
B. httpd stop 
C. named start 
D. named stop",C
"若URL地址为http://www.nankai.edu/index.html，请问哪个代表主机名（）
A.nankai.edu.cn 
B.index.html
C.www.nankai.edu/index.html 
D.www.nankai.edu",D
"在LINUX中，要查看文件内容，可使用（）命令。
A.more
B.cd
C.login
D.logout",A
"光盘所使用的文件系统类型为（）。
A.ext2
B.ext3
C.swap
D.ISO9660",D
"LINUX 所有服务的启动脚本都存放在（）目录中。
A./etc/rc.d/init.d
B./etc/init.d
C./etc/rc.d/rc
D./etc/rc.d",A
"REDHATLINUX 所提供的安装软件包，默认的打包格式为（）。
A.…tar
B.…tar.gz
C.…rpm
D.…zip",C
"以下文件中，只有 root 用户才有权存取的是（）
A.passwd
B.shadow
C.group
D.password",B
"usermod 命令无法实现的操作是（）
A.账户重命名
B.删除指定的账户和对应的主目录 
C.加锁与解锁用户账户
D.对用户密码进行加锁或解锁",B
"LINUX用于启动系统所需加载的内核程序位于（）
A./
B./lib/modules/2.4.20_8/kernel
C./boot
D./proc",C
"init进程对应的配置文件名为（），该进程是LINUX系统的第一个进程，其进程号PID始终为1。
A./etc/fstab
B./etc/init.conf
C./etc/inittab.conf
D./etc/inittab",D
"在LINUX运行的7个级别中，X—WINDOWS图形系统的运行级别为（）。
A.2
B.3
C.5
D.6",C
"若在文字界面下，需要键入何种指令才能进入图形界面（Xwindow）。（）
A.reboot
B.startx 
C.startwindow
D.getinto",B
"当安装linux操作系统时将选择下列那一个操作?（）
A.选择“图形登录方式”设定系统开始运行级为4
B.选择“文本登录方式”设定系统开始运行级为3
C.选择“文本登录方式”设定系统开始运行级为5
D.选择“图形登录方式”设定系统开始运行级为3",B
"Linux 通过 VFS 支持多种不同的文件系统。Linux 缺省的文件系统是（）
A.VFAT
B.ISO9660
C.Ext系列
D.NTFS",C
"关闭linux系统（不重新启动）可使用（）命令。
A.ctrl+alt+del
B.halt
C.shutdown-r
D.reboot",B
"修改以太网mac地址的命令为（）。
A.ping
B.ifconfig
C.arp
D.traceroute",B
"在 vi 编辑器中的命令模式下，键入（）可在光标当前所在行下添加一新行。
A.O
B.o
C.i
D.a",B
"以下选项中，哪个命令可以关机?（）
A.init0
B.init1
C.init5
D.init6",A
"请选择关于/etc/fstab的正确描述。（）
A.系统启动后，由系统自动产生 
B.用于管理文件系统信息
C.用于设置命名规则，是否使用可以用TAB来命名一个文件 
D.保存硬件信息",B
"从后台启动进程，应在命令的结尾加上符号（）
A．&           
B. @          
C. #             
D. $",A
"在创建Linux分区时，一定要创建（）两个分区
A.FAT/NTFS 
B.FAT/SWAP 
C.NTFS/SWAP 
D.SWAP/根分区",D
"在RedHatLinux9 中，系统默认的（）用户对整个系统拥有完全的控制权。
A.root 
B.guest 
C.administrator 
D.supervistor",A
"当登录Linux时在RedHatLinux9号的shell将被调用，这个ID是什么（）
A. NID 
B. PID 
C. UID 
D. CID",B
"下面哪个命令是用来定义shell的全局变量（）
A. exportfs 
B. alias 
C. exports 
D. export",D
"哪个目录存放用户密码信息（）
A. /boot 
B. /etc 
C. /var 
D. /dev",B
"默认情况下管理员创建了一个用户，就会在（）目录下创建一个用户主目录。
A. /usr 
B. /home 
C. /root 
D. /etc",B
"当使用mount进行设备或者文件系统挂载的时候，需要用到的设备名称位于（）目录。
A./home 
B./bin 
C./etc 
D./dev",D
"如果要列出一个目录下的所有文件需要使用命令行（）。
A. ls–l 
B. ls 
C. ls–a
D. ls–d",C
"哪个命令可以将普通用户转换成超级用户（）
A. super 
B. passwd 
C. tar 
D. su",D
"除非特别指定，cp假定要拷贝的文件在下面哪个目录下（）
A.用户目录 
B. home目录 
C. root目录 
D.当前目录",D
"在vi编辑器里，命令""dd""用来删除当前的（）
A.行 
B.变量 
C.字 
D.字符",A
"当运行在多用户模式下时，用Ctrl+ALT+F*可以切换多少虚拟用户终端（）
A. 3 
B. 6 
C. 1 
D. 12",B
"Linux启动的第一个进程init启动的第一个脚本程序是（）。
A./etc/rc.d/init.d 
B./etc/rc.d/rc.sysinit 
C./etc/rc.d/rc5.d 
D./etc/rc.d/rc3.d",B
"按下（） 键能终止当前运行的命令
A. Ctrl-C 
B. Ctrl-F 
C. Ctrl-B 
D. Ctrl-D",A
"下面哪个命令用来启动X Window （）
A. runx 
B. Startx 
C. startX 
D. xwin",C
"用来分离目录名和文件名的字符是（）
A. dash 
B. slash
C. period
D. asterisk",B
"用 “rm -i”,系统会提示什么来让你确认（）
A.命令行的每个选项 
B.是否真的删除 
C.是否有写的权限 
D.文件的位置",B
"以下哪个命令可以终止一个用户的所有进程（）
A. skillall 
B. skill 
C. kill 
D. killall",D
"在Red Hat Linux 9中，一般用（）命令来查看网络接口的状态
A. ping 
B. ipconfig 
C. winipcfg 
D.ifconfig",D
"vi中哪条命令是不保存强制退出（）
A. :wq 
B. :wq! 
C. :q! 
D. :quit",C
"在下列分区中，Linux默认的分区是（）
A. FAT32 
B. EXT3 
C. FAT
D. NTFS",B
"若要将鼠标从VM中释放出来，可按 （）键来实现
A. Ctrl + Alt 
B. Ctrl +Alt +Del 
C. Ctrl +Alt +Enter 
D. Ctrl +Enter",A
"如果用户想对某一命令详细的了解，可用（）
A. ls 
B. help（内部） 
C. man（列举的信息多） 
D. dir",C
"Samba服务器的配置文件是（）。
A. httpd.conf 
B. inetd.conf 
C. rc.samba 
D. smb.conf",D
"用户编写了一个文本文件 a.txt，想将该文件名称改为 txt.a，下列命令（）可以实现。
A. cd a.txt xt.a 
B. echo a.txt > txt.a 
C. rm a.txt txt.a 
D. cat a.txt > txt.a",D
"Linux文件权限一共 10 位长度，分成四段，第三段表示的内容是（）。
A.文件类型
B.文件所有者的权限 
C.文件所有者所在组的权限 
D.其他用户的权限",C
"在使用mkdir命令创建新的目录时，在其父目录不存在时先创建父目录的选项是（）。
A. -m 
B. -d 
C. -f 
D. -p",D
"下面关于节点描述错误的是（）。
A．节点和文件是一一对应的
B．节点能描述文件占用的块数
C．节点描述了文件大小和指向数据块的指针
D．通过节点实现文件的逻辑结构和物理结构的转换",A
"在 vi 编辑器中的命令模式下，重复上一次对编辑的文本进行的操作，可使用（）命令。
A. 上箭头 
B. 下箭头 
C. “.” 
D. “*”",C
"某文件的组外成员的权限为只读；所有者有全部权限；组内的权限为读与写，则该文件的权限为（）。
A. 467 
B. 674 
C. 476 
D. 764",D
"在Redhat公司发布的Linux版本中，若要更改用户密码，可以修改以下 （）脚本。
A. /etc/inittab 
B. /etc/passwd 
C. /etc/shadow 
D. /etc/group",C
"下列不是 Linux 系统进程类型的是（）。
A.交互进程 
B.批处理进程 
C.守护进程 
D.就绪进程",D
"下列关于 /etc/fstab 文件描述，正确的是（）。
A. fstab文件只能描述属于linux的文件系统 
B. CD_ROM和软盘必须是自动加载的
C. fstab文件中描述的文件系统不能被卸载 
D.启动时按fstab文件描述内容加载文件系统",D
"在 Shell 脚本中，用来读取文件内各个域的内容并将其赋值给 Shell 变量的命令是（）。
A. fold 
B. join 
C. tr 
D. read",D
"Linux系统的开发模型是（）。
A.教堂模型 
B.集市模型 
C.层次模型 
D.网状模型",B
"在 Linux 中，进程优先级的相关参数有多个，与实时进程优先级相关的参数是（）。
A.policy 
B.counter 
C.priority 
D.rt_priority",D
"在Linux系统中，每个进程都有4GB的虚拟地址空间，其中内核空间占用（）。
A．0~2GB-1
B．0~3GB-1
C．3GB~4GB-1
D．2GB~4GB-1",C
"Linux文件系统中，文件在外存的物理地址放在（）中。
A.节点 
B.用户打开文件表 
C.系统打开文件表 
D.进程控制块",A
"你使用命令“vi/etc/inittab”查看该文件的内容，你不小心改动了一些内容，为了防止系统出问题，你不想保存所修改内容，你应该如何操作（）
A.在末行模式下，键入:wq
B.在末行模式下，键入:q!
C.在末行模式下，键入:x! 
D.在编辑模式下，键入“ESC”键直接退出vi",B
"显示已经挂装的文件系统磁盘inode使用状况的命令是（）?
A.df–i
B.su–I
C.du–I
D.free–i",A
"删除文件命令为（）
A.mkdir
B.move
C.mv
D.rm",D
"网络管理员对www服务器可进行访问、控制存取和运行等控制，这些控制可在（）文件中体现。
A.httpd.conf
B.lilo.conf
C.inetd.conf
D.resolv.conf",A
"如果想在Linux下实现热启，应当修改/etc/inittab下的哪一行（）。
A.#TrapCTRL-ALT-DELETE 
B.#ca::ctrlaltdel:/sbin/shutdown-t3-rnow
C.#id:3:initdefault: 
D.#10:3:wait:/etc/rc.d/rc3",B
"下列哪个命令在建立一个tar归档文件的时候列出详细列表（）。
A.tar-t
B.tar-cv
C.tar-cvf
D.tar–r",A
"假设文件fileA的符号链接为fileB，那么删除fileA后，下面的描述正确的是（）。
A.fileB也随之被删除 
B.fileB仍存在，但是属于无效文件
C.因为fileB未被删除，所以fileA会被系统自动重新建立 
D.fileB会随fileA的删除而被系统自动删除",B
"一个bashshell脚本的第一行是（）？
A.#/bin/csh
B.#/bin/bash  
C./bin/bash
D.#!/bin/bash",D
"改变文件所有者的命令为（）？
A.chmod
B.touch
C.chown
D.cat",C
"用于文件系统直接修改文件权限管理命令为：（）
A.chown
B.chgrp 
C.chmod
D.umask",C
"在给定文件中查找与设定条件相符字符串的命令为（）。
A.grep
B.gzip
C.find
D.sort",A
"建立一个新文件可以使用的命令为（）。
A.chmod
B.more
C.cp
D.touch",D
"存放Linux基本命令的目录是什么（）?
A./bin
B./tmp
C./lib
D./root",A
"自由软件的含义是（）。
A．用户不需要付费
B．软件可以自由修改和发布 
C．只有软件作者才能向用户收费 
D．软件发行商不能向用户收费",B
"系统引导的过程一般包括如下几步：a．MBR中的引导装载程序启动；b．用户登录；c．Linux内核运行；d．BIOS自检。正确的顺序是（）。
A．d,b,c,a
B．d,a,c,b
C．b,d,c,a 
D．a,d,c,b",B
"字符界面下使用shutdown命令重启计算机时所用的参数是（）。
A．-h 
B．-t
C．-k
D．-r",D
"下列设备属于块设备的是（）。
A．键盘
B．终端 
C．游戏杆
D．硬盘",D
"cd 命令可以改变用户的当前目录，当用户键入命令 “cd” 并按Enter键后，（）。
A．当前目录改为根目录
B．当前目录不变，屏幕显示当前目录
C．当前目录改为用户主目录
D．当前目录改为上一级目录",C
"在UNIX/Linux系统添加新用户的命令是（）
A.groupadd
B.usermod 
C.userdel
D.useradd",D
"添加用户时使用参数（）可以指定用户目录。
A.-d
B.-p  
C.-u
D.-c",A
"修改用户自身的密码可使用（）
A.passwd
B.passwd-dmytest 
C.passwdmytest
D.passwd-l",A
"统计磁盘空间或文件系统使用情况的命令是：（）
A.df
B.dd  
C.du
D.fdisk",A
"若使pid进程无条件终止使用的命令是（）。
A.kill-9
B.kill-15 
C.killall-1
D.kill-3",A
"显示系统主机名的命令是（）
A.uname-r
B.whoami 
C.uname-n
D.whoami",C
"Linux系统中用于打印队列查询的命令是（）。
A.lp
B.lprm 
C.lpr
D.lpstat",D
"FTP传输中使用哪两个端口（）？
A.23和24
B.21和22 
C.20和21
D.22和23",C
"欲把当前目录下的file1.txt复制为file2.txt，正确的命令是（）。
A.copyfile1.txtfile2.txt
B.cpfile1.txt|file2.txt
C.catfile2.txtfile1.txt
D.catfile1.txt>file2.txt",D
"如果您想列出当前目录以及子目录下所有扩展名为“.txt”的文件，那么您可以使用的命令是（）。
A.ls*.txt 
B.find.–name“.txt” 
C.ls–d.txt
D.find.“.txt”",B
"如何删除一个非空子目录/tmp（）。
A.del/tmp/*
B.rm-rf/tmp
C.rm-Ra/tmp/*
D.rm–rf/tmp/*",B
"存放用户帐号的文件是（）。
A.shadow
B.group
C.passwd
D.Gshadow",C
"一个文件名字为rr.Z，可以用来解压缩的命令是（）
A．tar
B.gzip
C.compress
D.uncompress",D
"如果执行命令#chmod746file.txt，那么该文件的权限是（）。
A.rwxr–rw-
B.rw-r–r--
C.--xr—rwx
D.rwxr–r—",A
"Linux有三个查看文件的命令，若希望在查看文件内容过程中可以用光标上下移动来查看文件内容，应使用命令（）
A．cat
B.more
C.less
D.menu",C
"若一台计算机的内存为128MB，则交换分区的大小通常是（）
A．64MB
B.128MB
C.256MB
D.512MB",C
"下列关于Linux说法中，不正确的是（）
A.Linux操作系统具有虚拟内存的能力
B.Linux操作系统不是UNIX系统的变种，因此Linux上程序不适合UNIX平台上运行
C.Linux操作系统不限制应用程序可用内存的大小
D.Linux操作系统支持多用户，在同一时间可以有多个用户使用主机",B
"POSIX标准的作用是对UNIX进行（）。
A. 可移植化
B. 互联互通
C. 标准化
D. 可定制化",C
"Linux的内核在哪个开源协议下发行？
A. Apache
B. BSD
C. MIT
D. GPL",D
"下面哪个操作系统不属于类UNIX操作系统？
A. Linux
B. Windows 10
C. Berkeley UNIX
D. UNIX System V",B
"GNU开发的工具在哪个协议下发行？
A. GPL
B. MIT
C. BSD
D. Apache",A
"Linux内核的开发者是？
A. Elon Musk
B. Richard Stallman
C. Linus Torvalds
D. Jeff Bezos",C
"Linux内核的版本号中包括（）。
A. 昵称号
B. 主版本号
C. 次版本号
D. 修订次数",BCD
"GNU项目开发出的重要软件工具有（）。
A. make
B. gdb
C. bash
D. gcc
E. emacs",ABCDE
"UNIX的两个流派是？
A. Solaris
B. BSD UNIX
C. UnixWare
D. System V",BD
"在GPL协议下发布的软件，用户可以（）。
A. 运行该软件
B. 修改该软件
C. 发布修改后的软件
D. 查看该软件源代码",ABCD
"UNIX系统的开发者是？
A. Dennis Ritchie
B. Ken Thompson
C. Linus Torvalds
D. Bill Gates",AB
"Linux操作系统的版本号包括（）
A. 内核版本号
B. 外壳版本号
C. 发行版本号
D. shell版本号",AC
"FSF(Free Software Foundation)组织中，Free的含义是免费。
A. 对
B. 错",错
"用户修改在GPL协议下发布的软件，再发布时可以添加自己的限制条件。
A. 对
B. 错",错
"UNIX从一开始就是用C语言编写的。
A. 对
B. 错",错
"UNIX被注册为软件商标，最早由AT&T公司持有。
A. 对
B. 错",对
"shell是命令解释器，位于UNIX的内核中。
A. 对
B. 错",错
"使用远程登录软件登录系统后，使用who命令看到该用户的登录终端类型为（）
A. 控制台console
B. 远程终端
C. 伪终端pts
D. 虚拟终端tty",C
"命令中选项的作用是（）
A. 指明命令作用的对象
B. 加速命令执行
C. 调整命令的执行行为
D. 调整命令优先级",C
"UNIX系统中的管理员是？
A. adminstrator
B. root
C. sys
D. admin",B
"内部命令又称为（）
A. 系统工具程序
B. shell命令
C. 磁盘命令
D. 内存命令",B
"已知mkdir为GNU项目开发的外部命令，下面哪个命令无法获得该命令的帮助信息（）
A. man mkdir
B. mkdir --help
C. info mkdir
D. help mkdir",D
"用户登录成功后，命令行是由哪个系统组件显示出来的？
A. 常驻模块
B. shell
C. 应用工具
D. 内核",B
